"seqnames"	"start"	"end"	"strand"	"type"	"gene_name"	"transcript_name"	"transcript_biotype"
"3"	48685637	48685927	"-"	"exon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48685637	48685807	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48685805	48685807	"-"	"start_codon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48682903	48683041	"-"	"exon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48683039	48683041	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48683036	48683038	"-"	"stop_codon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48682348	48682552	"-"	"exon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48682045	48682156	"-"	"exon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48681530	48681780	"-"	"exon"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48685808	48685927	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48682903	48683035	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48682348	48682552	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48682045	48682156	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48681530	48681780	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
"3"	48681534	48686361	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48686176	48686361	"-"	"exon"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682903	48683041	"-"	"exon"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682903	48682949	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682947	48682949	"-"	"start_codon"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682348	48682552	"-"	"exon"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682348	48682552	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682045	48682156	"-"	"exon"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682045	48682156	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48681534	48681780	"-"	"exon"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48681534	48681780	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48686176	48686361	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48682950	48683041	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-207"	"protein_coding"
"3"	48681534	48686364	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48686176	48686364	"-"	"exon"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682869	48683012	"-"	"exon"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682348	48682552	"-"	"exon"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682348	48682485	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682483	48682485	"-"	"start_codon"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682045	48682156	"-"	"exon"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682045	48682156	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48681534	48681780	"-"	"exon"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48681534	48681780	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48686176	48686364	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682869	48683012	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"3"	48682486	48682552	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-205"	"protein_coding"
"4"	958887	986895	"-"	"gene"	"DGKQ"	NA	NA
"4"	958887	973569	"-"	"transcript"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	973212	973569	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	973212	973482	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	973480	973482	"-"	"start_codon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	970993	971072	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	970993	971072	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	968811	968910	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	968811	968910	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	968479	968564	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	968479	968564	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	968282	968407	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	968282	968407	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967880	968027	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967880	968027	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967728	967802	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967728	967802	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967549	967649	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967549	967649	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967129	967361	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	967129	967361	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	966964	967054	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	966964	967054	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	966748	966802	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	966748	966802	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	966466	966527	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	966466	966527	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	965928	966078	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	965928	966078	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	965491	965529	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	965491	965529	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	965176	965291	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	965176	965291	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	963139	963290	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	963139	963290	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	962772	962920	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	962772	962920	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	962435	962613	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	962435	962613	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961982	962082	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961982	962082	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961688	961834	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961688	961834	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961467	961578	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961467	961578	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961049	961201	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	961049	961201	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	958887	960721	"-"	"exon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	960623	960721	"-"	"CDS"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	960620	960622	"-"	"stop_codon"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	973483	973569	"-"	"five_prime_utr"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	958887	960619	"-"	"three_prime_utr"	"DGKQ"	"DGKQ-201"	"protein_coding"
"4"	958888	973322	"-"	"transcript"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	973212	973322	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	973212	973322	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	970993	971072	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	970993	971072	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	968811	968910	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	968811	968910	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	968479	968564	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	968479	968564	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	968282	968407	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	968282	968407	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967880	968027	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967880	968027	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967728	967802	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967728	967802	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967549	967649	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967549	967649	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967129	967361	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	967129	967361	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	966964	967054	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	966964	967054	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	966748	966802	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	966748	966802	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	966466	966527	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	966466	966527	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	965928	966078	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	965928	966078	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	965176	965291	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	965176	965291	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	963139	963290	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	963139	963290	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	962772	962920	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	962772	962920	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	962435	962613	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	962435	962613	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961982	962082	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961982	962082	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961688	961834	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961688	961834	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961467	961578	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961467	961578	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961049	961201	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	961049	961201	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	958888	960721	"-"	"exon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	960623	960721	"-"	"CDS"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	960620	960622	"-"	"stop_codon"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	958888	960619	"-"	"three_prime_utr"	"DGKQ"	"DGKQ-203"	"protein_coding"
"4"	960615	962440	"-"	"transcript"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	962435	962440	"-"	"exon"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	962435	962440	"-"	"CDS"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	961982	962082	"-"	"exon"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	961982	962082	"-"	"CDS"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	961467	961578	"-"	"exon"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	961467	961578	"-"	"CDS"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	961049	961201	"-"	"exon"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	961049	961201	"-"	"CDS"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	960615	960721	"-"	"exon"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	960623	960721	"-"	"CDS"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	960620	960622	"-"	"stop_codon"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	960615	960619	"-"	"three_prime_utr"	"DGKQ"	"DGKQ-205"	"protein_coding"
"4"	963142	967175	"-"	"transcript"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	967129	967175	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	966964	967054	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	966748	966802	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	966466	966527	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	966064	966301	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	965491	965529	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	965176	965291	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	964073	964093	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	963142	963290	"-"	"exon"	"DGKQ"	"DGKQ-202"	"processed_transcript"
"4"	968291	986895	"-"	"transcript"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	986806	986895	"-"	"exon"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	986806	986851	"-"	"CDS"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	986849	986851	"-"	"start_codon"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	970993	971072	"-"	"exon"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	970993	971072	"-"	"CDS"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	968811	968910	"-"	"exon"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	968811	968910	"-"	"CDS"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	968479	968564	"-"	"exon"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	968479	968564	"-"	"CDS"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	968291	968407	"-"	"exon"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	968291	968407	"-"	"CDS"	"DGKQ"	"DGKQ-204"	"protein_coding"
"4"	986852	986895	"-"	"five_prime_utr"	"DGKQ"	"DGKQ-204"	"protein_coding"
"8"	11842524	11869533	"-"	"gene"	"CTSB"	NA	NA
"8"	11842524	11853479	"-"	"transcript"	"CTSB"	"CTSB-259"	"protein_coding"
