"Gene_symbol"	"Ensembl_ID"
"SGF29"	"ENSG00000176476"
"SH2B1"	"ENSG00000178188"
"SH3GL2"	"ENSG00000107295"
"SH3RF1"	"ENSG00000154447"
"SLC26A1"	"ENSG00000145217"
"SLC45A3"	"ENSG00000158715"
"SLC4A1"	"ENSG00000004939"
"SNCA"	"ENSG00000145335"
"SPNS1"	"ENSG00000169682"
"STK39"	"ENSG00000198648"
"STX1B"	"ENSG00000099365"
"STX4"	"ENSG00000103496"
"SULT1A1"	"ENSG00000196502"
"SYT17"	"ENSG00000103528"
"TMEM163"	"ENSG00000152128"
"TMEM175"	"ENSG00000127419"
"TMEM248"	"ENSG00000106609"
"TNFSF12"	"ENSG00000239697"
"TPST1"	"ENSG00000169902"
"TRIM10"	"ENSG00000204613"
"TRIM31"	"ENSG00000204616"
"TRIM40"	"ENSG00000204614"
"TUBG2"	"ENSG00000037042"
"TUFM"	"ENSG00000178952"
"TXNDC15"	"ENSG00000113621"
"UBTF"	"ENSG00000108312"
"VAMP4"	"ENSG00000117533"
"VKORC1"	"ENSG00000167397"
"VKORC1L1"	"ENSG00000196715"
"WDR5B"	"ENSG00000196981"
"WDR6"	"ENSG00000178252"
"WNT3"	"ENSG00000108379"
"ZKSCAN8"	"ENSG00000198315"
"ZNF165"	"ENSG00000197279"
"ZNF192P1"	"ENSG00000226314"
"ZNF514"	"ENSG00000144026"
"ZNF646"	"ENSG00000167395"
"ZNF668"	"ENSG00000167394"
"ZSCAN12P1"	"ENSG00000219891"
"ZSCAN16"	"ENSG00000196812"
"ZSCAN16-AS1"	"ENSG00000269293"
