"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol","chromosome_name","start_position","end_position","Gene.Start.MinusKB","Gene.end.PlusKB"
"ENSG00000147162","ENSG00000234225",0.313044496269755,0,"RP4-704D21.2","OGT","1",146473490,146475177,146373490,146575177
"ENSG00000147162","ENSG00000164669",0.320987451473931,0,"INTS4P1","OGT","7",64601603,64694600,64501603,64794600
"ENSG00000187778","ENSG00000140474",0.519440961559861,0,"ULK3","MCRS1","15",75128457,75135687,75028457,75235687
"ENSG00000187778","ENSG00000223343",0.447595988317397,0,"RP13-131K19.2","MCRS1","3",49022482,49027421,48922482,49127421
"ENSG00000147162","ENSG00000211574",0.447326261729888,0,"MIR770","OGT","14",101318727,101318824,101218727,101418824
"ENSG00000172534","ENSG00000167619",0.418189886816286,0,"TMEM145","HCFC1","19",42817477,42829214,42717477,42929214
"ENSG00000103510","ENSG00000171720",0.475765196727962,0,"HDAC3","KAT8","5",141000443,141016437,140900443,141116437
"ENSG00000187778","ENSG00000261616",0.347763541810766,0,"RP11-6O2.3","MCRS1","15",99679522,99685575,99579522,99785575
"ENSG00000172534","ENSG00000180616",0.385589643721002,0,"SSTR2","HCFC1","17",71161151,71167185,71061151,71267185
"ENSG00000172534","ENSG00000069188",0.319937939533402,0,"SDK2","HCFC1","17",71330523,71640228,71230523,71740228
"ENSG00000187778","ENSG00000175115",0.433206803276273,0,"PACS1","MCRS1","11",65837834,66012218,65737834,66112218
"ENSG00000103510","ENSG00000099866",0.324435847129156,0,"MADCAM1","KAT8","19",489176,505347,389176,605347
"ENSG00000147162","ENSG00000125084",0.382536706386059,0,"WNT1","OGT","12",49372398,49375459,49272398,49475459
"ENSG00000172534","ENSG00000141012",0.406684678236699,0,"GALNS","HCFC1","16",88880142,88923378,88780142,89023378
"ENSG00000196363","ENSG00000121053",0.341963686247721,0,"EPX","WDR5","17",56270098,56282535,56170098,56382535
"ENSG00000196363","ENSG00000122386",0.319783955927135,0,"ZNF205","WDR5","16",3162561,3170518,3062561,3270518
"ENSG00000187778","ENSG00000138172",0.32463412421232,0,"CALHM2","MCRS1","10",105206543,105212660,105106543,105312660
"ENSG00000172534","ENSG00000239857",0.454413193914279,0,"GET4","HCFC1","7",916189,936073,816189,1036073
"ENSG00000172534","ENSG00000131697",0.430492181132807,0,"NPHP4","HCFC1","1",5922871,6052533,5822871,6152533
"ENSG00000120071","ENSG00000141084",0.455656846536649,0,"RANBP10","KANSL1","16",67757005,67840555,67657005,67940555
"ENSG00000172534","ENSG00000166311",0.350641734131973,9.72679270461185e-10,"SMPD1","HCFC1","11",6411655,6416228,6311655,6516228
"ENSG00000103510","ENSG00000099849",0.407281021764181,0,"RASSF7","KAT8","11",560404,564021,460404,664021
"ENSG00000172534","ENSG00000167632",0.433946830711587,0,"TRAPPC9","HCFC1","8",140742586,141468678,140642586,141568678
"ENSG00000196363","ENSG00000185909",0.33466633536314,0,"KLHDC8B","WDR5","3",49209044,49213917,49109044,49313917
"ENSG00000172534","ENSG00000252809",0.32325015503205,0,"AC135050.1","HCFC1","16",31120551,31120634,31020551,31220634
"ENSG00000196363","ENSG00000160613",0.431832347239948,0,"PCSK7","WDR5","11",117075053,117103241,116975053,117203241
"ENSG00000187778","ENSG00000176428",0.352213574762128,3.91420229561845e-12,"VPS37D","MCRS1","7",73082155,73086442,72982155,73186442
"ENSG00000103510","ENSG00000204344",0.437153741345007,0,"STK19","KAT8","6",31938868,31950598,31838868,32050598
"ENSG00000196363","ENSG00000267439",0.480846919269304,0,"AC002398.11","WDR5","19",36237958,36244316,36137958,36344316
"ENSG00000187778","ENSG00000235381",0.433182526617427,0,"RP11-477D19.2","MCRS1","6",155574273,155577858,155474273,155677858
"ENSG00000196363","ENSG00000256790",0.388432894404371,0,"RP11-429A20.3","WDR5","12",5127631,5130879,5027631,5230879
"ENSG00000187778","ENSG00000261659",0.43775771815608,0,"LA16c-313D11.12","MCRS1","16",739001,742554,639001,842554
"ENSG00000103510","ENSG00000099917",0.428985941480139,0,"MED15","KAT8","22",20850200,20941919,20750200,21041919
"ENSG00000172534","ENSG00000143630",0.46698240993003,0,"HCN3","HCFC1","1",155247374,155259639,155147374,155359639
"ENSG00000103510","ENSG00000122705",0.376359498369185,0,"CLTA","KAT8","9",36190853,36304778,36090853,36404778
"ENSG00000172534","ENSG00000131653",0.460226349809364,0,"TRAF7","HCFC1","16",2205699,2228130,2105699,2328130
"ENSG00000103510","ENSG00000110711",0.357531357526158,0,"AIP","KAT8","11",67250512,67258574,67150512,67358574
"ENSG00000147162","ENSG00000151445",0.404009496455941,0,"VIPAS39","OGT","14",77893018,77924295,77793018,78024295
"ENSG00000172534","ENSG00000168924",0.419393084426504,0,"LETM1","HCFC1","4",1813206,1857974,1713206,1957974
"ENSG00000147162","ENSG00000101146",0.407095129333977,0,"RAE1","OGT","20",55926066,55954267,55826066,56054267
"ENSG00000172534","ENSG00000105325",0.471067081574011,0,"FZR1","HCFC1","19",3506271,3538328,3406271,3638328
"ENSG00000196363","ENSG00000229116",0.349829188249431,0,"RP11-20J15.3","WDR5","10",44787706,44789157,44687706,44889157
"ENSG00000187778","ENSG00000068654",0.441381941211116,0,"POLR1A","MCRS1","2",86247339,86333278,86147339,86433278
"ENSG00000147162","ENSG00000101199",0.358386677473195,0,"ARFGAP1","OGT","20",61904137,61921142,61804137,62021142
"ENSG00000196363","ENSG00000052749",0.647607970894587,0,"RRP12","WDR5","10",99116115,99161127,99016115,99261127
"ENSG00000187778","ENSG00000069998",0.421019290453385,0,"HDHD5","MCRS1","22",17618401,17646177,17518401,17746177
"ENSG00000187778","ENSG00000175048",0.41328380687729,0,"ZDHHC14","MCRS1","6",157802165,158099178,157702165,158199178
"ENSG00000187778","ENSG00000272321",0.439390648644225,0,"ENSG00000272321","MCRS1","8",99448897,99451518,99348897,99551518
"ENSG00000120071","ENSG00000142453",0.412819475575943,0,"CARM1","KANSL1","19",10982189,11033453,10882189,11133453
"ENSG00000196363","ENSG00000170043",0.461761297756309,0,"TRAPPC1","WDR5","17",7833663,7835441,7733663,7935441
"ENSG00000196363","ENSG00000182022",0.471274352389774,0,"CHST15","WDR5","10",125767184,125853206,125667184,125953206
"ENSG00000172534","ENSG00000107929",0.438045094365596,0,"LARP4B","HCFC1","10",855484,977564,755484,1077564
"ENSG00000196363","ENSG00000108106",0.428392364942007,0,"UBE2S","WDR5","19",55912652,55919145,55812652,56019145
"ENSG00000103510","ENSG00000168061",0.33175316141344,0,"SAC3D1","KAT8","11",64808373,64812300,64708373,64912300
"ENSG00000103510","ENSG00000254662",0.414060825654828,0,"RP11-872D17.4","KAT8","11",57093077,57095432,56993077,57195432
"ENSG00000172534","ENSG00000250251",0.380294121531671,0,"PKD1P6","HCFC1","16",15219099,15248421,15119099,15348421
"ENSG00000147162","ENSG00000113108",0.39637405023482,0,"APBB3","OGT","5",139937853,139973337,139837853,140073337
"ENSG00000187778","ENSG00000104714",0.438540606038761,0,"ERICH1","MCRS1","8",564746,688106,464746,788106
"ENSG00000196363","ENSG00000111737",0.598378046145805,0,"RAB35","WDR5","12",120532899,120555306,120432899,120655306
"ENSG00000196363","ENSG00000266173",0.441876958471283,0,"STRADA","WDR5","17",61780192,61819330,61680192,61919330
"ENSG00000103510","ENSG00000168066",0.388611387177268,0,"SF1","KAT8","11",64532078,64546258,64432078,64646258
"ENSG00000103510","ENSG00000254680",0.385251652429388,0,"RP11-265D17.2","KAT8","11",12282973,12284720,12182973,12384720
"ENSG00000196363","ENSG00000170085",0.494810077792434,0,"SIMC1","WDR5","5",175665365,175772994,175565365,175872994
"ENSG00000172534","ENSG00000107959",0.408571865101397,0,"PITRM1","HCFC1","10",3179920,3215003,3079920,3315003
"ENSG00000196363","ENSG00000267475",0.350528138535052,0,"NUDT19-DT","WDR5","19",33177995,33182656,33077995,33282656
"ENSG00000103510","ENSG00000037637",0.406831115143467,0,"FBXO42","KAT8","1",16573334,16678949,16473334,16778949
"ENSG00000103510","ENSG00000265356",0.312606755772857,6.0239573329568e-08,"RP11-17M24.1","KAT8","17",32258151,32263225,32158151,32363225
"ENSG00000172534","ENSG00000106608",0.458843786903804,0,"URGCP","HCFC1","7",43915493,43966010,43815493,44066010
"ENSG00000120071","ENSG00000116128",0.387244243107852,4.5312762875227e-08,"BCL9","KANSL1","1",147013182,147098017,146913182,147198017
"ENSG00000172534","ENSG00000059804",0.326006740912235,0,"SLC2A3","HCFC1","12",8071826,8088871,7971826,8188871
"ENSG00000196363","ENSG00000254154",0.421577980159735,0,"CRYZL2P-SEC16B","WDR5","1",177897923,178007142,177797923,178107142
"ENSG00000187778","ENSG00000103423",0.527716406177768,0,"DNAJA3","MCRS1","16",4475806,4506776,4375806,4606776
"ENSG00000103510","ENSG00000011009",0.428668730112297,0,"LYPLA2","KAT8","1",24117460,24122029,24017460,24222029
"ENSG00000120071","ENSG00000130402",0.43691027480077,0,"ACTN4","KANSL1","19",39138289,39222223,39038289,39322223
"ENSG00000120071","ENSG00000248019",0.440805021447721,0,"FAM13A-AS1","KANSL1","4",89630940,89651254,89530940,89751254
"ENSG00000103510","ENSG00000170322",0.392732212557478,0,"NFRKB","KAT8","11",129733531,129765485,129633531,129865485
"ENSG00000196363","ENSG00000185813",0.398124399706187,0,"PCYT2","WDR5","17",79858841,79869340,79758841,79969340
"ENSG00000103510","ENSG00000144029",0.447259332129687,0,"MRPS5","KAT8","2",95752952,95815179,95652952,95915179
"ENSG00000187778","ENSG00000114023",0.342411337603319,1.85278765663099e-07,"FAM162A","MCRS1","3",122103023,122131181,122003023,122231181
"ENSG00000187778","ENSG00000116685",0.447437399179829,0,"KIAA2013","MCRS1","1",11979648,11986485,11879648,12086485
"ENSG00000103510","ENSG00000183628",0.336300530141308,4.08214310221311e-06,"DGCR6","KAT8","22",18893541,18901751,18793541,19001751
"ENSG00000187778","ENSG00000138002",0.386046589986962,0,"IFT172","MCRS1","2",27667238,27712656,27567238,27812656
"ENSG00000196363","ENSG00000136878",0.722029667456247,0,"USP20","WDR5","9",132596977,132644107,132496977,132744107
"ENSG00000196363","ENSG00000146232",0.338624690227814,0,"NFKBIE","WDR5","6",44225903,44233500,44125903,44333500
"ENSG00000187778","ENSG00000166965",0.358382337655069,0,"RCCD1","MCRS1","15",91498100,91506349,91398100,91606349
"ENSG00000196363","ENSG00000185838",0.441859402149689,0,"GNB1L","WDR5","22",19770747,19842462,19670747,19942462
"ENSG00000196363","ENSG00000110237",0.550647896340151,0,"ARHGEF17","WDR5","11",73019334,73080136,72919334,73180136
"ENSG00000103510","ENSG00000204435",0.35763237275106,0,"CSNK2B","KAT8","6",31633013,31638120,31533013,31738120
"ENSG00000103510","ENSG00000204438",0.328980564749691,0,"GPANK1","KAT8","6",31629006,31634060,31529006,31734060
"ENSG00000147162","ENSG00000081923",0.334448197912946,0,"ATP8B1","OGT","18",55313658,55470333,55213658,55570333
"ENSG00000196363","ENSG00000122218",0.46462456794401,0,"COPA","WDR5","1",160259063,160313190,160159063,160413190
"ENSG00000103510","ENSG00000158669",0.443444592250594,0,"GPAT4","KAT8","8",41434706,41482520,41334706,41582520
"ENSG00000187778","ENSG00000104679",0.353386540504013,0,"R3HCC1","MCRS1","8",23127633,23153792,23027633,23253792
"ENSG00000196363","ENSG00000136856",0.397499151506296,0,"SLC2A8","WDR5","9",130159421,130170703,130059421,130270703
"ENSG00000147162","ENSG00000271361",0.437448058144604,0,"HTATSF1P2","OGT","6",3023376,3024006,2923376,3124006
"ENSG00000187778","ENSG00000178921",0.514624220223138,0,"PFAS","MCRS1","17",8150936,8173809,8050936,8273809
"ENSG00000187778","ENSG00000154978",0.333858765184158,0,"VOPP1","MCRS1","7",55503749,55640681,55403749,55740681
"ENSG00000147162","ENSG00000247679",0.324713639850383,0,"RP11-1277A3.1","OGT","5",177038254,177046755,176938254,177146755
"ENSG00000196363","ENSG00000160563",0.484278026426251,0,"MED27","WDR5","9",134735494,134955295,134635494,135055295
"ENSG00000187778","ENSG00000166902",0.388032133868192,0,"MRPL16","MCRS1","11",59573608,59578345,59473608,59678345
"ENSG00000196363","ENSG00000112877",0.678816754553279,0,"CEP72","WDR5","5",612387,667283,512387,767283
"ENSG00000187778","ENSG00000142949",0.353324772701908,0,"PTPRF","MCRS1","1",43990858,44089343,43890858,44189343
"ENSG00000196363","ENSG00000172531",0.489820274321468,0,"PPP1CA","WDR5","11",67165654,67188654,67065654,67288654
"ENSG00000172534","ENSG00000178498",0.465164245882918,0,"DTX3","HCFC1","12",57998405,58003587,57898405,58103587
"ENSG00000103510","ENSG00000184990",0.323962786193967,0,"SIVA1","KAT8","14",105219437,105234831,105119437,105334831
"ENSG00000196363","ENSG00000135502",0.367181919337326,0,"SLC26A10","WDR5","12",58013310,58019934,57913310,58119934
"ENSG00000172534","ENSG00000177169",0.577430643952368,0,"ULK1","HCFC1","12",132379196,132407712,132279196,132507712
"ENSG00000196363","ENSG00000135503",0.474256851832196,0,"ACVR1B","WDR5","12",52345451,52390862,52245451,52490862
"ENSG00000196363","ENSG00000135506",0.513813056122716,0,"OS9","WDR5","12",58087738,58115340,57987738,58215340
"ENSG00000172534","ENSG00000008300",0.49143749130163,0,"CELSR3","HCFC1","3",48673902,48700348,48573902,48800348
"ENSG00000196363","ENSG00000112855",0.441982087025492,0,"HARS2","WDR5","5",140071011,140078889,139971011,140178889
"ENSG00000172534","ENSG00000072958",0.438222144750301,0,"AP1M1","HCFC1","19",16308389,16346160,16208389,16446160
"ENSG00000120071","ENSG00000214659",0.383648092459743,0,"KRT8P26","KANSL1","11",65494410,65495685,65394410,65595685
"ENSG00000187778","ENSG00000223403",0.363944629875637,1.13316156458154e-09,"MEG9","MCRS1","14",101536248,101539274,101436248,101639274
"ENSG00000147162","ENSG00000186160",0.384436144503927,0,"CYP4Z1","OGT","1",47533160,47583991,47433160,47683991
"ENSG00000103510","ENSG00000168016",0.386989469378179,0,"TRANK1","KAT8","3",36868311,36986548,36768311,37086548
"ENSG00000196363","ENSG00000124831",0.428552627054391,0,"LRRFIP1","WDR5","2",238536219,238722325,238436219,238822325
"ENSG00000103510","ENSG00000254756",0.35377619785665,0,"RP11-867G23.12","KAT8","11",66101965,66107346,66001965,66207346
"ENSG00000187778","ENSG00000126005",0.377957357370519,0,"MMP24OS","MCRS1","20",33804265,33865934,33704265,33965934
"ENSG00000196363","ENSG00000183207",0.573482941547306,0,"RUVBL2","WDR5","19",49496705,49519252,49396705,49619252
"ENSG00000187778","ENSG00000165698",0.34437270425671,0,"SPACA9","MCRS1","9",135753414,135765588,135653414,135865588
"ENSG00000187778","ENSG00000211445",0.32393104473277,1.5069678838131e-10,"GPX3","MCRS1","5",150400124,150408554,150300124,150508554
"ENSG00000187778","ENSG00000138073",0.416206612834879,0,"PREB","MCRS1","2",27353624,27357543,27253624,27457543
"ENSG00000103510","ENSG00000160917",0.381044690947206,0,"CPSF4","KAT8","7",99036545,99054994,98936545,99154994
"ENSG00000196363","ENSG00000075568",0.502096498754683,0,"TMEM131","WDR5","2",98372799,98612388,98272799,98712388
"ENSG00000187778","ENSG00000140395",0.432793268443152,0,"WDR61","MCRS1","15",78570177,78592136,78470177,78692136
"ENSG00000187778","ENSG00000164366",0.394936847358296,0,"CCDC127","MCRS1","5",196986,218330,96986,318330
"ENSG00000103510","ENSG00000204498",0.392801356986303,0,"NFKBIL1","KAT8","6",31514647,31526606,31414647,31626606
"ENSG00000103510","ENSG00000108344",0.438222426440182,0,"PSMD3","KAT8","17",38137050,38154213,38037050,38254213
"ENSG00000187778","ENSG00000165688",0.453864518110608,0,"PMPCA","MCRS1","9",139305110,139318213,139205110,139418213
"ENSG00000187778","ENSG00000165684",0.461508164929873,0,"SNAPC4","MCRS1","9",139270029,139293249,139170029,139393249
"ENSG00000147162","ENSG00000198105",0.617439809921438,0,"ZNF248","OGT","10",38091751,38147034,37991751,38247034
"ENSG00000147162","ENSG00000149187",0.520554465397455,0,"CELF1","OGT","11",47487496,47587121,47387496,47687121
"ENSG00000147162","ENSG00000151498",0.469550759934801,0,"ACAD8","OGT","11",134123389,134135749,134023389,134235749
"ENSG00000187778","ENSG00000008838",0.485222710386721,0,"MED24","MCRS1","17",38175350,38217468,38075350,38317468
"ENSG00000196363","ENSG00000148814",0.370927447793951,0,"LRRC27","WDR5","10",134145614,134195010,134045614,134295010
"ENSG00000196363","ENSG00000134291",0.326628952315704,0,"TMEM106C","WDR5","12",48357352,48362661,48257352,48462661
"ENSG00000103510","ENSG00000133316",0.428497337672386,0,"WDR74","KAT8","11",62599814,62609281,62499814,62709281
"ENSG00000103510","ENSG00000133315",0.340893075012611,0,"MACROD1","KAT8","11",63766030,63933578,63666030,64033578
"ENSG00000196363","ENSG00000205138",0.476552911991975,0,"SDHAF1","WDR5","19",36486090,36487220,36386090,36587220
"ENSG00000103510","ENSG00000147955",0.337583131175675,0,"SIGMAR1","KAT8","9",34634719,34637806,34534719,34737806
"ENSG00000196363","ENSG00000134285",0.467689467303046,0,"FKBP11","WDR5","12",49315301,49320257,49215301,49420257
"ENSG00000187778","ENSG00000163050",0.531552671683928,0,"COQ8A","MCRS1","1",227085237,227175246,226985237,227275246
"ENSG00000147162","ENSG00000272604",0.328713568460329,0,"ENSG00000272604","OGT","7",105211530,105214107,105111530,105314107
"ENSG00000187778","ENSG00000151067",0.424678151685714,0,"CACNA1C","MCRS1","12",2079952,2802108,1979952,2902108
"ENSG00000187778","ENSG00000176340",0.369233894545506,0,"COX8A","MCRS1","11",63742079,63744015,63642079,63844015
"ENSG00000187778","ENSG00000211450",0.584910674430207,0,"SELENOH","MCRS1","11",57508825,57510986,57408825,57610986
"ENSG00000196363","ENSG00000076864",0.573798521088421,0,"RAP1GAP","WDR5","1",21922708,21995801,21822708,22095801
"ENSG00000172534","ENSG00000177108",0.460735520208252,0,"ZDHHC22","HCFC1","14",77597613,77609077,77497613,77709077
"ENSG00000187778","ENSG00000177679",0.438840365450131,0,"SRRM3","MCRS1","7",75831216,75916605,75731216,76016605
"ENSG00000187778","ENSG00000163040",0.33216711477291,0,"CCDC74A","MCRS1","2",132285248,132291239,132185248,132391239
"ENSG00000196363","ENSG00000148834",0.428091696097919,0,"GSTO1","WDR5","10",105995114,106027217,105895114,106127217
"ENSG00000187778","ENSG00000236782",0.370206951630323,0,"ZNF593OS","MCRS1","1",26496438,26498312,26396438,26598312
